측정 일자,정점명,위도,경도,날씨,수심,수층,투명도,수질평가지수(WQI)등급,수온,염분,수소이온농도,용존산소량,화학적산소요구량,암모니아성질소,아질산성질소,질산성질소,용존무기질소,총질소,용존무기인,총인,규산규소,부유물질,클로로필에이
2013-02-15,성산포항 H01,33.470833,126.9275,맑음,4,표층,4,2,9.78,33.45,8.27,9.31,1.42,16.7,2.7,152.6,172,286.6,15,21.3,565.8,25.8,1.62
2013-02-15,성산포항 H01,33.470833,126.9275,맑음,4,저증,4,2,9.76,33.45,8.26,9.24,1.42,14,2.7,119.5,136.1,256.2,16.9,19.4,437.7,7.8,2.2
2013-02-15,제주항 H01,33.526111,126.54,구름조금,12,표층,7,3,12.86,33.59,8.23,8.66,0.96,12,2.6,134,148.6,231.9,17,19.7,471,7.9,2.23
2013-02-15,제주항 H01,33.526111,126.54,구름조금,12,저증,7,3,13.03,33.75,8.27,8.55,0.96,12.3,2.3,118.5,133,231.2,16.6,18.9,428,7.8,1.59
2013-02-15,제주항 H02,33.527222,126.530556,구름조금,15,표층,8,3,12.84,33.71,8.23,8.49,0.78,5.7,2.2,121,128.9,214.5,17.1,20,404.6,10.5,3.58
2013-02-15,제주항 H02,33.527222,126.530556,구름조금,15,저증,8,3,13.03,33.85,8.27,8.37,0.78,6.6,2.1,101.2,109.9,192.9,16.4,22,335.4,9.8,2
2013-02-16,서귀포항 H01,33.236389,126.565278,맑음,8,표층,8,2,14.95,33.72,8.18,8.16,0.89,9.5,2,129.5,141,267.2,15.4,24.7,510.1,1.9,3.7
2013-02-16,서귀포항 H01,33.236389,126.565278,맑음,8,저증,8,2,15.02,33.97,8.22,8.41,0.89,10.5,1.6,88.1,100.2,182.9,13.3,14.8,338.8,3,3.07
2013-02-16,서귀포항 H02,33.240278,126.56,맑음,4,표층,2.5,3,15.11,33.31,8.05,8.69,1.13,64,8.2,1894.6,1966.8,2233,12.5,56.9,7908,8.4,2.02
2013-02-16,서귀포항 H02,33.240278,126.56,맑음,4,저증,2.5,3,14.98,33.33,8.21,7.88,1.13,34.6,2.5,192,229.1,321.9,22.6,44.8,816.7,11.6,3.96
2013-02-17,한림항 H01,33.415556,126.255278,구름많음,6,표층,4.5,3,11.47,33.52,8.22,8.92,1,21.8,2.2,372.1,396.1,476.5,23.7,27,609.4,11,0.84
2013-02-17,한림항 H01,33.415556,126.255278,구름많음,6,저증,4.5,3,11.35,33.58,8.18,8.95,1,12.5,2,234.7,249.2,356.1,19.9,20.1,453.5,0.5,1.01
2013-02-17,한림항 H02,33.418056,126.259722,구름많음,4,표층,4.2,3,10.88,33.26,8.19,8.8,0.96,23.2,2.5,389.2,414.8,511.2,31.7,33.9,642.2,18.3,1.3
2013-02-17,한림항 H02,33.418056,126.259722,구름많음,4,저증,4.2,3,10.96,33.2,8.22,8.73,0.96,22,2.2,338,362.2,451.2,22.6,23.1,565.7,1.8,1.48
2013-08-15,서귀포항 H01,33.236389,126.565278,맑음,8,표층,6.3,3,27.79,30.75,8.1,6.96,1.09,5.8,3.6,61.4,70.8,194.6,2.5,11.3,407.7,2.3,3.56
2013-08-15,서귀포항 H01,33.236389,126.565278,맑음,8,저증,6.3,3,23.16,32.4,8.11,6.99,1.09,8.6,3.5,24.2,36.4,109.9,4.5,8.7,251.6,0.7,4.93
2013-08-15,서귀포항 H02,33.240278,126.56,맑음,17,표층,7.4,2,27.96,30.58,8.14,7.39,1.26,12.2,4,71.8,88,212,4.5,12.9,441.8,1.75,3.39
2013-08-15,서귀포항 H02,33.240278,126.56,맑음,17,저증,7.4,2,26.53,31.4,8.05,6.78,1.26,7.2,2.8,29.5,39.5,155.5,3,11.5,256.6,1.1,2.2
2013-08-15,제주항 H01,33.526111,126.54,맑음,14,표층,7,3,28.55,31.42,8.28,7.33,1.06,6,0.6,12.4,19,115.4,0.3,5.6,88,1.8,2.9
2013-08-15,제주항 H01,33.526111,126.54,맑음,14,저증,7,3,26.81,31.84,8.23,6.78,1.06,9.4,1.3,15,25.7,127,0.4,10.2,69.8,2.7,4.03
2013-08-15,제주항 H02,33.527222,126.530556,맑음,9,표층,4,3,28.31,31.15,8.22,7.26,1.32,12.6,2.1,50.1,64.8,180.9,1.2,13.8,257.2,2.3,3.8
2013-08-15,제주항 H02,33.527222,126.530556,맑음,9,저증,4,3,28.14,31.51,8.25,7.11,1.32,7.1,1.2,12.6,20.9,177.4,0.5,8.6,78.4,3.15,4.5
2013-08-15,한림항 H01,33.415556,126.255278,맑음,6,표층,4,3,28.96,30.87,8.11,7.07,0.93,7.9,2.6,49.9,60.3,254,1.4,13.1,104.1,1.9,4.03
2013-08-15,한림항 H01,33.415556,126.255278,맑음,6,저증,4,3,28.9,30.92,8.11,7.01,0.93,8.4,2.6,52.4,63.4,256.7,0.9,15.7,105.6,2.25,5.59
2013-08-15,한림항 H02,33.418056,126.259722,맑음,4,표층,0.5,3,28.94,30.72,8.1,6.58,1.37,22.8,4.9,144.2,172,378.7,1.2,27.9,237.7,16.55,9.17
2013-08-15,한림항 H02,33.418056,126.259722,맑음,4,저증,0.5,3,28.94,30.73,8.09,6.54,1.37,31.1,4.9,139.8,175.8,454.8,1.9,65.7,236.7,21,12.53
2013-08-17,성산포항 H01,33.470833,126.9275,맑음,3,표층,3.9,3,27.34,31.49,8.13,6.42,1.13,15.5,3.2,19.2,37.9,192.1,3.3,17.9,814.6,2.2,3.33
2013-08-17,성산포항 H01,33.470833,126.9275,맑음,3,저증,3.9,3,26.76,31.83,7.92,6.51,1.13,18.1,2.4,14.8,35.4,239.8,3.7,27.8,461.7,4.3,3.6
