측정 연도,측정 월,측정 일자,정점명,위도,경도,날씨,수심,수층,투명도,수질평가지수(WQI)등급,수온,염분,수소이온농도,용존산소량,화학적산소요구량,암모니아성질소,아질산성질소,질산성질소,용존무기질소,총질소,용존무기인,총인,규산규소,부유물질,클로로필에이
2021,11,2021-11-20,대정1,33.2025,126.251667,맑음,20,표층,9,1,19.91,34.17,8.12,8.18,0.58,6.5,3.07,52.64,62.2,113.12,9.8,13.21,157.11,33.7,0.93
2021,11,2021-11-20,대정2,33.22,126.3275,맑음,28,표층,9,2,20.27,34.14,8.15,9,1.71,3.26,1.53,10.47,15.26,118.83,4.9,17.52,67.65,22,2.9
2021,11,2021-11-20,대정3,33.237778,126.202778,맑음,28,표층,10,1,19.94,34.16,8.14,9.34,1.4,6.55,2.76,38.81,48.12,145.28,8.31,14.85,129.39,23.9,1.24
2021,11,2021-11-20,서귀포1,33.2625,126.661111,맑음,30,표층,12,1,20.41,34.04,8.16,9.49,1.76,9.42,2.13,29.65,41.2,136.81,6.26,19.22,123.98,22.7,0.98
2021,11,2021-11-20,서귀포2,33.229444,126.4125,맑음,23,표층,13,1,20.53,34.08,8.15,8.81,1.63,12.01,2.62,34.82,49.45,110.29,6.63,15.9,90.72,25.15,0.66
2021,11,2021-11-20,서귀포3,33.229444,126.566944,맑음,40,표층,11,1,20.48,34.1,8.15,8.91,2.15,6.16,2.49,26.98,35.63,94.58,6.45,11.41,85.23,25.4,0.69
2021,11,2021-11-20,한림1,33.376111,126.185,맑음,21,표층,11,1,19.2,33.99,8.09,8.33,1.89,20.71,4.98,59.05,84.74,164.54,11.32,21.11,202.72,39.85,0.74
2021,11,2021-11-20,한림2,33.463056,126.274444,맑음,32,표층,11,1,18.52,33.61,8.09,8.75,1.87,8.19,5.95,82.75,96.89,119.9,10.11,13.64,218.74,20.6,0.67
2021,11,2021-11-20,한림3,33.294444,126.16,맑음,17,표층,9,1,19.22,34.1,8.08,8.77,1.42,8.51,3.49,78.06,90.06,191.87,13.24,25.14,216.13,22.35,0.81
2021,11,2021-11-20,대정1,33.2025,126.251667,맑음,20,저층,9,1,19.73,34.2,8.11,8.16,0.35,14.69,2.93,63.77,81.38,107.7,11.72,14.85,187.15,20.15,0.76
2021,11,2021-11-20,대정2,33.22,126.3275,맑음,28,저층,9,2,19.82,34.13,8.15,9.16,0.42,8.79,2.48,37.79,49.06,89.92,6.08,12.31,102.56,20.4,1.64
2021,11,2021-11-20,대정3,33.237778,126.202778,맑음,28,저층,10,1,19.72,34.21,8.11,7.97,0.4,8.09,2.44,62.12,72.65,156.95,11.01,22.35,159.04,21.4,0.72
2021,11,2021-11-20,서귀포1,33.2625,126.661111,맑음,30,저층,12,1,20.31,34.06,8.15,9.66,0.58,28.35,2.81,43.33,74.49,94.54,7.6,13.39,106.37,21.65,1.21
2021,11,2021-11-20,서귀포2,33.229444,126.4125,맑음,23,저층,13,1,20.39,34.16,8.15,8.8,0.3,7.25,2.32,28.88,38.46,144.49,9.52,16.15,96.24,24.85,1.35
2021,11,2021-11-20,서귀포3,33.229444,126.566944,맑음,40,저층,11,1,20.45,34.11,8.15,8.67,0.25,6.45,1.86,18.55,26.87,83.85,7.5,12.28,76.24,21.65,0.88
2021,11,2021-11-20,한림1,33.376111,126.185,맑음,21,저층,11,1,19.21,34.08,8.09,7.65,0.69,11.09,3.93,80.79,95.82,114.94,13.61,18.04,226.72,19.65,0.65
2021,11,2021-11-20,한림2,33.463056,126.274444,맑음,32,저층,11,1,18.67,33.72,8.1,10.01,0.63,18.05,4.96,71.58,94.58,137.76,10.73,14.57,206.39,24.7,0.61
2021,11,2021-11-20,한림3,33.294444,126.16,맑음,17,저층,9,1,19.22,34.11,8.09,9.12,0.42,19.18,2.49,55.09,76.76,213.14,12.9,22.72,154.11,19.8,0.65
2021,11,2021-11-18,성산포1,33.48,126.938611,맑음,16,표층,12,1,19.35,33.98,8.15,9.25,1.37,11.1,3.91,29.48,44.49,151.62,7.29,17.67,113.96,23.6,1.07
2021,11,2021-11-18,성산포2,33.411389,126.938611,맑음,46,표층,12,1,20,34.08,8.15,8.32,1.52,13.76,2.49,12.81,29.06,132.66,3.29,16.46,61.88,23.9,0.96
2021,11,2021-11-18,제주1,33.526944,126.532778,맑음,13,표층,9,1,18.52,33.66,8.08,8.62,0.42,6.76,5.22,72.14,84.13,208.49,11.97,24.27,273.95,23.6,0.48
2021,11,2021-11-18,제주2,33.500556,126.427778,맑음,22,표층,13,1,17.91,33.19,8.12,8.89,0.77,20.27,4.19,33.43,57.89,189.38,6.45,20,220.7,26.1,0.8
2021,11,2021-11-18,제주3,33.533889,126.568333,맑음,29,표층,9,1,18.3,33.59,8.09,8.75,0.48,10.32,5.07,80.6,95.98,210.25,11.53,23.53,326.51,22.85,0.55
2021,11,2021-11-18,조천1,33.5375,126.855556,맑음,18,표층,10,1,18.06,33.66,8.11,8.58,0.38,10.85,5.8,79.62,96.26,176.2,12.03,20.89,267.96,22.35,0.54
2021,11,2021-11-18,조천2,33.573889,126.732778,맑음,44,표층,9,1,18.23,33.6,8.09,9.02,1.48,5.61,5.6,67.14,78.36,185.75,11.01,22.85,252,23.1,0.59
2021,11,2021-11-18,조천3,33.560556,126.666389,맑음,30,표층,10,1,18.19,33.51,8.1,8.42,1.56,9.23,4.7,54.43,68.36,196.45,9.64,18.85,239.01,35.75,0.53
2021,11,2021-11-18,표선1,33.280833,126.7675,맑음,38,표층,10,2,20,34.01,8.16,8.18,1.56,8.18,2.1,19.46,29.74,162.5,3.32,18.17,90.27,29.6,1.89
2021,11,2021-11-18,표선2,33.325556,126.865556,맑음,33,표층,10,1,20.29,34.01,8.16,8.43,1.4,5.57,2.37,9.2,17.14,100.76,2.02,11.1,64.37,21.55,1.06
2021,11,2021-11-18,성산포1,33.48,126.938611,맑음,16,저층,12,1,19.34,33.99,8.11,7.88,1,8.13,5.6,48.33,62.06,219.52,10.23,19.1,175.84,23.35,0.67
2021,11,2021-11-18,성산포2,33.411389,126.938611,맑음,46,저층,12,1,19.55,34,8.11,8.21,1.22,9.55,5.35,42.88,57.78,169.09,7.53,20.93,153.13,20.75,0.84
2021,11,2021-11-18,제주1,33.526944,126.532778,맑음,13,저층,9,1,18.54,33.66,8.09,8.09,1.27,16.9,5.52,70.48,92.89,164.92,12.28,20.46,287.06,20.25,0.64
2021,11,2021-11-18,제주2,33.500556,126.427778,맑음,22,저층,13,1,18.22,33.41,8.1,8.75,1.42,22.2,5.05,56.88,84.14,440.29,10.42,22.79,252.17,22.4,0.53
2021,11,2021-11-18,제주3,33.533889,126.568333,맑음,29,저층,9,1,18.36,33.65,8.08,8.58,0.45,10.46,4.21,47.95,62.62,278.77,9.83,21.2,193.23,24.35,0.46
2021,11,2021-11-18,조천1,33.5375,126.855556,맑음,18,저층,10,1,18.03,33.65,8.1,8.27,0.29,15.22,4.72,62.64,82.57,196.56,11.1,23.41,226.16,20.35,0.66
2021,11,2021-11-18,조천2,33.573889,126.732778,맑음,44,저층,9,1,18.18,33.77,8.08,8.07,1.3,4.28,5.85,72.13,82.26,158.97,12.09,20.65,267.99,23,0.51
2021,11,2021-11-18,조천3,33.560556,126.666389,맑음,30,저층,10,1,18.18,33.61,8.08,8.82,1.01,9.66,4.13,45.82,59.61,178.61,8.59,22.94,199.7,21.5,0.69
2021,11,2021-11-18,표선1,33.280833,126.7675,맑음,38,저층,10,2,19.86,33.99,8.13,8.57,1.26,8.82,4.73,33.21,46.76,141.2,6.79,19.78,129.05,23.05,1.34
2021,11,2021-11-18,표선2,33.325556,126.865556,맑음,33,저층,10,1,19.59,33.98,8.14,8.91,0.46,7.08,3.42,20.26,30.76,124.81,5.46,16.31,88.56,19.6,1.86
2021,08,2021-08-31,대정3,33.237778,126.202778,맑음,29,표층,12,1,24.73,31.24,8.19,5.77,1.17,0.2,1.5,20.6,22.3,134.53,1.15,8.31,98.22,35.95,0.05
2021,08,2021-08-31,성산포1,33.48,126.938611,맑음,16,표층,9,2,23.38,31.35,8.26,10.35,2.05,7.2,1.2,14,22.4,110.53,1.4,7.78,46.48,28.1,1.82
2021,08,2021-08-31,성산포2,33.411389,126.938611,맑음,30,표층,10,1,25.73,31.22,8.27,8.38,1.93,5.2,0.2,0.8,6.2,106.16,1.21,5.49,44.49,28.5,0.48
2021,08,2021-08-31,제주1,33.526944,126.532778,맑음,15,표층,8.8,1,26.84,30.67,8.29,7.79,1.83,29.4,0.9,21.6,51.9,120.6,1.18,7.07,74,30.15,0.88
2021,08,2021-08-31,제주2,33.500556,126.427778,맑음,17,표층,12,1,26.7,30.83,8.21,6.75,1.79,29.7,1.6,28.8,60.1,131.35,1.43,6.2,86.58,26.75,1.03
2021,08,2021-08-31,제주3,33.533889,126.568333,맑음,19,표층,12.3,1,25.93,30.77,8.23,7.37,1.69,4.9,1.5,43.8,50.2,166.26,0.71,7.38,204.48,25.6,0.49
2021,08,2021-08-31,조천1,33.5375,126.855556,맑음,18,표층,9,1,25.39,30.94,8.25,7.82,1.67,4.4,1.3,38.2,43.9,202.1,1.61,14.42,81.96,30.05,1.61
2021,08,2021-08-31,조천2,33.573889,126.732778,맑음,31,표층,13,1,25.77,30.64,8.2,7.71,1.37,13.4,1,11.4,25.8,149.18,1.15,5.46,45.42,29.85,0.42
2021,08,2021-08-31,조천3,33.560556,126.666389,맑음,28,표층,10,2,25.73,30.76,8.23,7.64,1.78,32.7,1.3,23.6,57.6,125.1,1.24,4.77,76.64,29.6,0.49
2021,08,2021-08-31,표선1,33.280833,126.7675,맑음,38,표층,8,2,23.79,31.33,8.38,9.08,2.03,7.3,1.4,22.3,31,200.4,1.49,12.68,79.77,23.3,4.42
2021,08,2021-08-31,표선2,33.325556,126.865556,맑음,26,표층,7,3,24.36,31.21,8.34,10,2.08,3.7,0.6,0.9,5.2,200.76,1.4,12.28,29.29,32.55,3.26
2021,08,2021-08-31,한림1,33.376111,126.185,맑음,14,표층,10,1,26.12,31.09,8.22,7.39,0.97,15.4,1.7,23.2,40.3,114.28,1.27,6.82,110.26,28.65,0.77
2021,08,2021-08-31,한림2,33.463056,126.274444,맑음,21,표층,10.6,1,25.39,31.1,8.22,9.33,1.16,11.7,1.5,32.7,45.9,190.55,1.12,9.08,112.64,29.6,0.59
2021,08,2021-08-31,한림3,33.294444,126.16,맑음,15,표층,11.2,1,25.28,31.21,8.17,8.6,1.32,19,1.6,24.8,45.4,134.13,1.05,7.41,118.05,28.45,0.34
2021,08,2021-08-31,대정3,33.237778,126.202778,맑음,29,저층,12,1,20.08,32.9,8.09,9.54,1.73,8,2.6,95.1,105.7,241.64,9.86,21.86,294.64,20.55,0.34
2021,08,2021-08-31,성산포1,33.48,126.938611,맑음,16,저층,9,2,21.51,32.64,8.17,7.05,1.54,6,3.8,56.2,66,155.6,5.8,15.07,175.78,22,1.25
2021,08,2021-08-31,성산포2,33.411389,126.938611,맑음,30,저층,10,1,18.71,33.13,8.07,6.91,1.79,17.4,4.5,98.8,120.7,178.32,10.23,14.35,314.19,26.4,0.41
2021,08,2021-08-31,제주1,33.526944,126.532778,맑음,15,저층,8.8,1,24.93,31.51,8.22,7.04,1.71,15.7,3.6,68.3,87.6,149.56,6.23,12.15,174.19,23.45,0.48
2021,08,2021-08-31,제주2,33.500556,126.427778,맑음,17,저층,12,1,23.96,31.83,8.16,6.73,1.61,19.9,3.1,55.7,78.7,112.06,3.29,9.92,149.16,23,0.7
2021,08,2021-08-31,제주3,33.533889,126.568333,맑음,19,저층,12.3,1,23.04,32.14,8.15,7.05,1.49,9.1,4.2,77.2,90.5,180.12,7.6,15.93,193.76,20.8,0.45
2021,08,2021-08-31,조천1,33.5375,126.855556,맑음,18,저층,9,1,21.67,32.67,8.14,8.39,2.2,5.3,5,69,79.3,174.2,7.84,19.81,192.53,22.7,1.13
2021,08,2021-08-31,조천2,33.573889,126.732778,맑음,31,저층,13,1,19.08,33.13,8.05,7.03,1.66,1.9,2.4,125.2,129.5,223.02,12.71,23.47,351.04,26.05,0.27
2021,08,2021-08-31,조천3,33.560556,126.666389,맑음,28,저층,10,2,19.34,33.12,8.07,6.15,1.67,27.5,4.4,105.4,137.3,178.71,12.62,17.76,287.5,20.75,0.41
2021,08,2021-08-31,표선1,33.280833,126.7675,맑음,38,저층,8,2,22.12,32.26,8.41,7.11,2.13,7,6.4,107.1,120.5,225.65,13.27,21.55,311.53,21.8,0.45
2021,08,2021-08-31,표선2,33.325556,126.865556,맑음,26,저층,7,3,20.79,32.78,8.01,7.27,1.71,1,4.4,122,127.4,216.71,15,22.91,363.1,26.1,0.27
2021,08,2021-08-31,한림1,33.376111,126.185,맑음,14,저층,10,1,24.88,31.56,8.17,7.44,1.9,4.3,2.3,45.8,52.4,163.17,2.26,11.94,178.19,19.6,0.89
2021,08,2021-08-31,한림2,33.463056,126.274444,맑음,21,저층,10.6,1,22.68,32.27,8.09,8.03,1.44,14,4.2,90.6,108.8,117.03,8.96,13.52,258.05,21.25,0.45
2021,08,2021-08-31,한림3,33.294444,126.16,맑음,15,저층,11.2,1,25.11,31.64,8.12,7.02,1.75,54.1,3.2,79.5,136.8,164.16,5.92,13.27,225.65,21.1,0.33
2021,08,2021-08-30,대정1,33.2025,126.251667,맑음,19,표층,13,1,23.41,31.73,8.17,8.39,0.94,24.4,2.3,55.7,82.4,147.01,3.32,7.72,165.84,27.5,0.48
2021,08,2021-08-30,대정2,33.22,126.3275,맑음,28,표층,15,1,24.25,31.4,8.19,7.87,0.75,4.5,2,30.5,37,143.61,1.58,8.68,134.43,30.45,0.61
2021,08,2021-08-30,서귀포1,33.2625,126.661111,맑음,30,표층,8,2,23.63,31.6,8.22,8.84,1.96,3.2,2.9,102.3,108.4,258.65,1.55,12.09,312.17,22.22,4.5
2021,08,2021-08-30,서귀포2,33.229444,126.4125,맑음,20,표층,16,1,24.94,31.15,8.2,8.17,1.71,7.7,1.8,23.3,32.8,136.91,1.33,6.08,99.26,28.9,0.32
2021,08,2021-08-30,서귀포3,33.229444,126.566944,맑음,42,표층,6,4,22.75,31.76,8.21,8.71,0.92,5.5,1.5,13.4,20.4,130.68,1.05,7.38,84.87,32,3.72
2021,08,2021-08-30,대정1,33.2025,126.251667,맑음,19,저층,13,1,21.79,32.3,8.14,9,1.49,6,3.1,78.6,87.7,185.63,8.59,16.96,249.68,41.95,0.03
2021,08,2021-08-30,대정2,33.22,126.3275,맑음,28,저층,15,1,20.35,32.58,8.11,7.1,1.38,6.4,5.9,94.8,107.1,200.48,11.22,19.72,298.45,33.8,0.11
2021,08,2021-08-30,서귀포1,33.2625,126.661111,맑음,30,저층,8,2,20.32,32.49,8.05,7.1,1.78,7.2,4.5,105.5,117.2,161.45,11.16,15.69,326.65,40.9,0.29
2021,08,2021-08-30,서귀포2,33.229444,126.4125,맑음,20,저층,16,1,22.02,32.24,8.12,6.56,1.83,5.4,3.9,77.5,86.8,157.37,8.03,15.69,247.8,23.45,0.05
2021,08,2021-08-30,서귀포3,33.229444,126.566944,맑음,42,저층,6,4,18.03,33.03,7.97,6.86,1.16,0,1.7,134.9,136.6,230.61,16.9,26.54,399.95,35.05,0.13
2021,05,2021-05-30,대정1,33.2025,126.251667,맑음,19,표층,9,1,17.73,34.36,8.15,8.82,0.9,0.8,2.5,42.9,46.2,146.1,4.1,15.3,210.5,31.5,0.87
2021,05,2021-05-30,대정2,33.22,126.3275,맑음,26,표층,8,1,17.81,34.38,8.18,8.49,1.12,29,1.8,26.3,57.1,226.7,3.5,12.3,196.8,28.3,0.84
2021,05,2021-05-30,대정3,33.237778,126.202778,맑음,27,표층,8,2,17.62,34.27,8.17,8.76,1.16,19.7,1.6,13,34.3,149.2,2.2,9.7,123.1,31.9,4.68
2021,05,2021-05-30,서귀포1,33.2625,126.661111,맑음,10,표층,9,2,18.67,34.24,8.27,9.62,0.41,6.7,3.2,263.1,273,289.9,8.7,13,1472.5,36,0.34
2021,05,2021-05-30,서귀포2,33.229444,126.4125,맑음,22,표층,9,1,18.56,34.3,8.2,8.9,1.01,0,1.6,13.8,15.4,94.5,1.4,8.5,169.3,32.7,0.55
2021,05,2021-05-30,서귀포3,33.229444,126.566944,맑음,50,표층,10,1,19.59,34.19,8.21,8.6,0.75,28.8,1,3.9,33.6,121.5,0.7,7.9,169.6,35.8,0.43
2021,05,2021-05-30,성산포1,33.48,126.938611,맑음,16,표층,10,2,17.53,34.33,8.15,8.17,0.35,23.1,2.7,36.9,62.7,129.2,0.2,10.9,186.4,26.6,2.2
2021,05,2021-05-30,성산포2,33.411389,126.938611,맑음,43,표층,11,1,17.65,34.32,8.23,8.54,0.53,43.2,1.7,26,71,210.1,3,14.9,215.2,34.1,1.14
2021,05,2021-05-30,제주1,33.526944,126.532778,맑음,12,표층,7,3,18,34.3,8.2,8.69,0.4,21,1.5,4.2,26.7,122.3,0.3,10.4,98.1,88.9,2.56
2021,05,2021-05-30,제주2,33.500556,126.427778,맑음,26,표층,7,3,18.23,34.26,8.2,8.9,0.48,19,1,1.9,21.9,91.6,1.3,9.2,118.5,34.2,2.62
2021,05,2021-05-30,제주3,33.533889,126.568333,맑음,18,표층,9,2,18.17,34.27,8.22,9.27,0.9,28,1.5,3.5,32.9,152,0,8.5,89.5,38.7,1.98
2021,05,2021-05-30,조천1,33.5375,126.855556,맑음,18,표층,9,2,17.92,34.32,8.22,8.49,0.58,0.1,1.2,2.4,3.8,106.8,0.8,14,122.2,36.8,2.64
2021,05,2021-05-30,조천2,33.573889,126.732778,맑음,40,표층,10,2,18.43,34.25,8.24,8.77,0.69,8.4,1.2,1.1,10.7,182.8,0.3,14.2,21.4,28.8,2.18
